Unnamed: 0	Twitts	Topic	Sentiment
451	Re: Coronavirus (COVID-19) Updates https://t.co/uIoQ6g0wv3	N	E
878	#worldnews 'Multiple' people escape from Howard Springs COVID-19 quarantine facility near Darwin https://t.co/zWJirJwpjq	N	E
955	At 12 with Tim - Downing Street's rejecting claims that Boris Johnson breached Covid regulations	N	E
336	And they’re playing the saints? It’s slow🤣 RT @AroundTheNFL: Cowboys DC Dan Quinn to handle head coaching duties vs. Saints with Mike McCarthy (COVID-19) out. . https://t.co/PmYs7QBG45 https://t.co/JVrXq3FYcd	N	E
0	What #Fauci has done by financing the creation of the Covid-19 virus and by walking Big Pharma’s “vaccine” through the emergency use process is to create a Frankenstein virus capable of escaping immune responses.	V	E
1401	@GrumpyOldDoc @EnemyInAState No, it means out of all the patients in that age group, 70% of them are admitted with severe covid, and 30%  non covid which gives you the 100% ,then it goes through each age group like it in the same way	I	E
124	Growth in 7D US Confirmed Covid Cases by County For WI   2021-11-26:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #globalhealth https://t.co/6SCuP6lz0O	N	E
640	"we're going to see aging millennials and zoomers continue to refuse to act like adults because ""covid stole x years of my life"".  It's going to be so damn annoying"	E	N
403	I have some flight points I need to use by March 2022 and I don’t know where in the world I would fly to. Covid has had me off planes since 2020… I forgot I traveled for a new job in 2020 right before everything hit the fan…	I	N
414	@SorenSorensen9 @FatEmperor Apparently if you’ve had Covid you have strong ‘long lasting’ immunity to it. So why are the vaccines so shit? Just asking for a friend….	V	N
282	Have HOPE friends! This is from the Ninth Circuit HALTING the San Diego Unified vaccination requirements. Keep it up! Keep raising your voices, your signs, your prayers, and your votes. All of these things matter! . . https://t.co/oHQtSfIgVw https://t.co/JA1CaZ4Rpi	V	P
436	CDC Says All 18-Plus ‘Should’ Get COVID-19 Boosters Due To Omicron https://t.co/gpFpWw3QwO	O	E
185	Maybe of we outlaw faceapp covid would finally stop yassifying Itself into new variants	O	P
331	Petrified Covid cuties. In the work fridge since March, 2020. That one on the right is pretty artsy. https://t.co/h2TOtRTBab	I	P
1007	@ffolliet I haven’t used a shared keyboard or mouse in the ER since COVID started. Eeew. Carry my own. Spray everything else and Dragon mic goes in a cover and I dictate with a headset.	I
72	Damn straight!. . Meanwhile...in Michigan....with the highest covid surge in the country.  Not a mask in sight! . . Total INLGAF state. https://t.co/Z3pQ861ISm https://t.co/MYYaOMt7Gb	N	N
1019	Health update. I’m still recovering from cancer treatment &amp; Covid in August. Overall doing well. Still have severe neuropathy in my feet &amp; very mild in my hands. My last infusion was April &amp; still no sign of relief. I may fall into that percentage where the damage is permanent.	I	P
1022	All of her zero friends were off with covid https://t.co/2ImgTmPCIa	N	E
338	I remain mystified by those taking seriously anything people say about this Botswanan variant. But news in the markets along w/ housing news, Fed news, policy news, economic news, and yes COVID news (and non-news) make this a DC Today not to be missed.  https://t.co/5xZafO2MgM	N	E
1106	@PatienceWins4U2 @AHS_media @jkenney @JustinTrudeau @SChad71593015 @jordanbpeterson @RealCandaceO @DonaldJTrumpJr @joerogan stay informed, not misinformed! https://t.co/7ml0BRYrAv	E	N
1343	"IN THE RING |🎙Darren Wade, Attorney at Law 🔥COVID-19 ""Level 3 HIGH THREAT"", Frank name callin https://t.co/XPIRSR57Fq"	N	P
91	How are they planning to convince the anti-vaxers?  How many more who were anti-vax do we have to see die on video, crying that they were wrong?  All vaccinated adults should get a Covid-19 booster shot because of the Omicron variant, CDC says. https://t.co/16xR1hcJFx	O	N
361	GMB’s Alex Beresford is bedridden with Covid as he suffers from ‘really bad’ symptoms https://t.co/8yOCvUJNsR	I	N
947	Someone said Western countries just can't fathom how Covid is not an African problem and are finding every way to make it so 😂 https://t.co/paC8VAYeRl	N	E
335	@maxrushden @jonawils @bglendenning Barry's phone might need a Covid jab.	E
1332	#vaccine #inequality . Rich nations hoarding &amp; discarding unused #CovidVaccines whilst many people in various countries in #Africa, #Americas and #Asia yet to receive one dosage.. https://t.co/YFoTnOAOoN	V	N
1187	@kylamb8 truth is every state should've been doing this to combat covid since March of 2020 when we already knew it was targeting obese &amp; sick.	E	N
1059	@LeslieEsc I had those exact symptoms in March 2020. I couldn't get a test because I didn't have a fever (75% of people hospitalized in NYC didn't have fevers), but I'm pretty sure I had Covid. I've never felt such bone deep exhaustion in my life. Can you get a test?	I	N
1238	@CinnamonBunEsq Lol, but no, I’m a 3L who hasn’t done anything real thanks to Covid. Congrats on your win!	I	N
11	@williambrady12x @POTUS Hypothermia, COVID. I see the correlation	I
1009	@stevencworlds Oh ok you have a lot of people to correct on Twitter then cause they’re saying he intentionally tried to kill Biden with COVID! But he was just dumb and didn’t know anything. Go tell them all. There are so many tweets.	N	N
315	"The PM attended a sod turning event through a back entrance, avoiding protestors who are now yelling liar, liar pants on fire"" to Ardern"" https://t.co/6y179tBsGY"	N	N
1308	Marcus Lamb, head of Daystar, a large Christian network that discouraged vaccines, dies after getting covid-19 https://t.co/arl2RJzYaW	V	N
1015	@utahhousereps What do special interests get for providing $9 of every $10 in Utah legislators’ campaigns?. . Utah one of only ten states with no contribution limitations. . Unfortunately - CoVid has interrupted the lives of so many UtahnS. . Hopefully they can find peace in these difficult times	I	N
466	@bette_oh Yup guy that sits next to me got his vax in the summer.  Got covid 4 weeks ago recovered then got his booster.   Dude also very conservative and smart.  His thinking is more  antibodies better https://t.co/A1lNTDUrZB	I	P
1342	@mattnobbs @mattletiss7 And the other 100+ million who have died since the pandemic began from all causes. Some of which would have been preventable had the world not lost sight of everything but covid	I	N
841	Vaccine Cult Exposed by Government’s Own Data: More than 50% of ALL Vaccine Adverse Reactions Reported for Past 30+ Years Have Occurred in Past 11 Months Following COVID-19 Shots. @Dan__Stevens @jordanbpeterson @TheQuartering @Seekthetruth101 @GBNEWS . https://t.co/qZllxcbxbQ	V	N
211	Cases and outbreaks are still surging in schools, as health officials say the latest statewide spike is being driven by the unvaccinated. https://t.co/iv6rE93rqC	V	E
1112	@MoiraDonegan Being nostalgic for orphanages to come back is no reason to do this. As an adopted person, she is wrong to assume adoption is fun &amp; not traumatic for any of us. We already have 120,000 to 5 million kids who lost a caretaker to COVID &amp; now we want more traumatized kids to join in?	I	N
1489	The most important metric there is. The trail leads directly to corrupt scientists, medics, and politicians.. . All the leading players in advancing the Covid tyranny have been funded in some way by the Global elite. From imperial college to the MSm to the WHO. It’s a racket! https://t.co/9NZxJ50tib	N	N
939	@mtgreenee @NancyMace Bye MTG he’s not a president HES AN EX also criminal insurrectionist sexual assaulter 700,000 deaths 8 million cases Covid inject bleach. Will be gone in a few days. April Easter Summertime nope he’s a loser not ever a leader	N
1235	@sharkyrae Well when a lot of them don't believe covid is real and the vaccine will destroy them then very hard	V	N
1438	#Germany's #Covid Major General Carsten Breuer's CV:. -#US Command&amp;General Staff Officer Course FtLeavenworth,Kansas. -#KFOR #Kosovo. -Stv.#NATO SACTREPEUR. -2014:Director Current Ops,Intl Security Assistance Force Joint Command Kabul #Afghanistan . -Zer0 medical/virological expertise https://t.co/UZsOARg0HH	N	E
1151	@bratzcokeden 😭 the covid deal expired	I	N
306	Covid really fucks with my mental health, now more than ever. I just wish for my close ones to stay healthy.	I	E
111	"@JasoKane @NewsHour @SarahVarney4 I think of these kids every time some anti-science idiot claims ""COVID doesn't hurt kids!"""	N	E
1439	@zerohedge Do you guys have anything to say about that sphere of Twitter that thinks covid is going to mutate more deadly, increasing infection numbers are inherently bad, and the people who claims things like this are fools?. . Just curious. Would love to see more crosstalk.	E	N
525	instead of giving them unemployment benefits, why don't they just pay for their hospital bill when they contract Covid?. . Here are all the states providing unemployment benefits for people who quit or were fired because they refused to get vaccinated https://t.co/vp4uy9tCrk	N	N
984	@ladoodles @AGJeffLandry Past is prologue:the past 3 days there have been NO DEATHS in NYC from COVID. 90% of ppl are fully vaxxed.  In Florida “Over a three-month period this summer, the CDC recorded 35,937 deaths from COVID-19…but just 1,191 of those who died were fully vaccinated.”guess  VAX WORKS!😷	N	N
949	CNBC anchor goes on rant demanding Biden 'require' forced nationwide COVID vaccinations: 'Have the military run it' https://t.co/Sii46Jwq13	N	E
1078	@gowronseyes @PhilipWegmann @NoahCRothman When did restrictions work? Look at Florida. No restrictions lowest covid rate	N	N
1214	@mufclxcie remember when people thought Covid wasn’t real &amp; that it was a conspiracy created by the governments… https://t.co/KVPn4Lfsz6	N	N
422	@lenoxhill Trying to book my booster shot at Einhorn auditorium. That’s where I got my Covid vaccine. It doesn’t look available on the website. Are you doing boosters?	V	E
1319	Yes, definitely block this crap !. https://t.co/SrSjSI1SsI	E	P
1031	Radford University Provides Comfort to Students Amid COVID-19 Semester https://t.co/MOl0H7Bwl0	N	E
186	Did Covid Change My Life for the Better? https://t.co/YnJ9AgRQfu via @MimiBarbour	I	P
220	Cases and outbreaks are still surging in schools, as health officials say the latest statewide spike is being driven by the unvaccinated. https://t.co/5FpacRSrcg	N	E
95	@nytimes Covid broke society. We’re now dealing with mass psychosis. People are willing to throw their rights away for the illusion of safety. They ignore actual science and common sense in favor of this hysterical narrative.	I	N
1450	@ignaacu1 Covid-19 make everything slow. #Waterdisruptions  https://t.co/WZ1tk2TI9E	E	E
1025	@LidiaColinas99 Covid-19 make everything slow. #Waterdisruptions  https://t.co/ILYROESd0l	E	E
13	@allisonpearson  ⁦@JuliaHB1⁩. Excellent and sane analysis here! . https://t.co/dLsWbevVHG. COVID-19: UK faces bumpy ride amid uncertainty over new Omicron variant and scant data to go on so far https://t.co/HGau5OhFpf	O	E
1107	ya girl just got boosted. f*ck covid!!!	V	N
1156	@shearm You &amp; all the other reporters involved should sue #Trump . . Mark Meadows is a PO💩. . He KNEW #Trump was infectious with COVID &amp; he warned NOBODY . . #Trump should be sued for attempted murder	N	N
187	@brlin_tw @gressmeister @RealSpikeCohen No you don't deaths by anything within 28 days of a positive test is not deaths by covid and the thousands of annual flu deaths disappeared.	I	E
1480	Another Ultra-VAXXED Country Just Had Its Highest Reported Covid Case Surge on Record https://t.co/7mdTfP59GN	N	E
66	The sad reality of this virus 🦠 . ▪️More than 775,000 people in the 🇺🇸  have died from COVID-19.. ▪️Left behind are tens of thousands of children — some orphaned entirely — after the parent or grandparent who cared for them died 🥲🥲. .  https://t.co/h4JNrDdTMH	N	N
1390	Murag way covid	E	N
659	@ss_slacker My theory: recruiters are people who can't handle failure  or difficulties and it has traditionally been an easy enough job.. . Post covid world, the tech industries have become more competitive to hire and wages are up. Recruiters failing to get new staff is freaking them out.	I	N
778	Covid: Who can have a booster jab and how can you get one? - BBC News https://t.co/cCqIhPaj39 https://t.co/JnDBp6JxnM	V	E
368	the funniest thing about covid skeptics is that they think the government created and successfully spread a mass conspiracy. dude the government can't even open a pdf	E	N
1400	While going so far in some states as legislating ways to kill off their base with covid for some ass backwards idiot form of freedom, the mind reels. https://t.co/SRcn5dlZZK	E	E
1113	OECD warns Omicron variant could derail world economy https://t.co/TdCHfGtYSA . . #politas	O	N
104	Cowboys Coach Mike McCarthy, several others will miss Thursday's game due to COVID-19. . https://t.co/t6WxIR9ii9	N	E
291	@sailormaecos Geez! COVID hit them hard. Look at what's happening at 1 of my local #PartyCity stores. https://t.co/UO8uHtYWkP	I	N
1330	@Melissa5857 @willgeorgelloyd @Keir_Starmer It is the Prime Ministers house, so what if he wasn't in attendance. It was on his watch. The covid situation between December 2020 &amp; May 2021 couldn't be more different if they tried. London was in an effective lockdown at the time.	N	E
643	@CalKAuthor Thanks to Brexit there’s not enough people to take away the bodies of those who have died of covid. The bees are adapting to a new food source.	N	E
1236	@OccupyDemocrats @LindaSn58810489 To all the bots and magats who reply, know 3 things. 1, I don't read what you reply with. 2, I do look to see who replies and suspect bots are reported. 3, if you have anything in your profile that is Covid missinformation, I'll report your ass damn quick.	E	N
226	@denniallen I note several who marched last weekend now with COVID. How stupid are these people- marching close together with no masks and many unvaccinated. It’s like a mass attempt at suicide. Only trouble is they may infect innocent people.	I	N
386	@sammyszzzzzzz @FoxNews The covid recovery is real? And the economy continued to grow?	N	P
178	.....well, the biggest scam after the “covid panic at the disco” attempted authoritarian power grab. https://t.co/VcA5Q7hTqr	N	N
1195	@MothershipSG As expected, by throwing all doors opened, Euro cities with high vax rates inevitably exerted immune pressure on the viruses to mutate into Omicron. . https://t.co/7AMCYIbyq6	O	E
62	Pfizer set to request authorization for coronavirus booster for 16- and 17-year-olds https://t.co/J7wmSpx3nD	V	E
231	Omicron expected to arrive in NYC, COVID masks should be worn indoors ‘at all times,’ city’s top doctor says. . https://t.co/9JvcCdszKX. . The Sky Is Falling! The Sky Is Falling!!	O	N
586	LA County Sheriff Boots China-Linked Covid Testing Firm After FBI Warns Over DNA Data https://t.co/jKmYlC4Jvd	N	E
837	@litconrad @coryrking @GovInslee @kcexec @MayorJenny Yes, Karen’s have Mohawks, dipshit. And you don’t even know what a Karen is. 🤣 More proof Mother Nature will take care of you folks with covid.	E	N
123	forgot to post something but I do not have covid!! I haven't had any symptoms and I'm fully vaxxed but like it scares the crap out of me	V	P
536	@Gordon_crp @roisinanna @gavreilly @VirginMediaNews What’s your actual concern? That kids will not develop immunity to Covid if masked or otherwise protected from it? Or that their immune systems in some broader sense will be weaker due to those mitigations?	N	E
890	@161641Okguy @BGiggy9 @CP24 Get the vax if you're scared...covid will be with us forever.	V	E
751	@boston25 If it gets any less effective it’s useless. It already doesn’t stop you from getting, spreading or dying from Covid.	V	N
1048	@thespybrief CDC has had page re: wildlife interactions and hunting for a while. . . https://t.co/hcIPPQgb1C	I	E
116	WHO warns that new virus variant poses 'very high' risk | AP News https://t.co/8RUFT1gCcn	O	N
204	Especially if you aren't taking care of your overall health. Don't just get the vaccine and expect to be in the clear. Be mindful.. . Same goes for masks. It's just one of the many precautions you need to take to stay safe, and not the ultimate defense against covid.	V	P
681	UPDATE: FDA panel backs first-of-a-kind COVID-19 pill from Merck https://t.co/8TpLopLI2D	N	P
1128	@Cdean0508 @CarlosF19d @lavern_spicer Yes, the vax pretty much prevents death from Covid. It also greatly reduces your chance to get it, get really ill from it and have long lasting effects from it.  But by all means stay unvaccinated.	V	P
377	@GOP Sitting @HouseGOP member equating COVID vaccines with human experimentation: https://t.co/tVcHWzPKlZ	V	N
450	@SMMullins @patriottakes Comparison ratios using the entire US population to a single US state is poor relative statistics.. . This same issue is present in saying 1 in every 10.5 Americans has died from COVID in California. Its not a relevant measure at all. Per capita relevancy is intra state. Per 100K.	N	E
921	@SimRelic This formula for comparing risk has been known since the 1600's.. . Compare: Chance of outcome 1 x Value of outcome 1. . to: Chance of outcome 2 x Value of outcome 2. . The odds of getting very sick or dying from Covid are much higher than from the vaccine.	V	P
680	This: https://t.co/QHUlunBCcs	O	E
668	@chrismunce Do you think people are making such a big deal about the Covid vaccine because it’s a shot and someone has to give it to you? I mean people put things in their and their kids bodies all of the time - nutritional supplements, food additives etc without thinking about it.	V	P
1223	@ChristinaPushaw Yes, yes, and yes. The benefits not only against Covid, but heart disease, diabetes, etc. and attitude! Bravo 👏	V	N
1300	Check out this article from https://t.co/mHHV59odq4:. . Who won $10,000 Vax-2-School scholarships? Ohio announces winners. . https://t.co/EQpadPp1tE	V	P
782	When whole world is worrying about the new covid variant, Punjab government is keep on digging their own grave. No covid rules, political rallies on peak.	N	N
1052	* except with regard to COVID and guns https://t.co/ZIamQ9J9Yw	N	N
1484	@Vintagedrummer7 What I can’t get is how they’re Finding variance when the original COVID-19 has not even been isolated yet. That was proven in Canada when somebody took the them to court	O	E
346	prof just sneezed and softly said its not covid	I	E
1116	@SethN12 @gtconway3d Sure he did. The only way he was going to beat Biden was to give him COVID-19 or steal the election. T rump tried both.	N	N
752	COVID-19 DAILY UPDATE: November 30, 2021 . Statistics from November 29, 2021. . • New cases: 35. • Active cases: 143. • Hospitalized: 58. • People in ICU: 17. • Deaths reported: 7. . For more information, visit the Data and Statistics page at https://t.co/rZgXeUNb9f. https://t.co/dDgWee2rbw	N	E
1232	he had to get tested for covid &amp; rsv to rule it out JUST in case cause the cases are rising (thankfully he’s negative!!) but he didn’t even cry omg.. my big boy 🥺🥺🥺	I	P
1363	There seems to be a strong correlation between the strength of your opposition to the #vaccines  and your risk of dying from #COVID19  https://t.co/LiPscg1C33	V	N
915	Merck’s Covid pill secures narrow backing from US regulatory panel https://t.co/Z8PBb2X92a	N	P
658	Laker fans when they heard Lebron got Covid https://t.co/hFXsnnPPWV	N	N
148	Dr. Simone Gold On Risks Of The Experimental mRNA Covid Jab https://t.co/V6fHkWjoVU	V	E
1435	Australia politics live update: Rachelle Miller alleges affair with Alan Tudge ‘abusive’, as minister denies claim; last parliament sitting day https://t.co/hEKuYupA4Z	N	E
616	Vaccines? Booster jobs? The financial crisis? What’s next for the covid pandemic https://t.co/OFLtPXvbWZ	V	E
1165	@mikezimmer_gmz The consensus panel deserves much more attention and discussion. Perhaps a Covid-19 consensus panel will be necessary in the future.	I	E
925	@RobDemovsky 10 days unvaxxed &lt; 12 days til our next game, there’s no could, it’s should, these Covid semantics are ridiculous Bob	V	N
1479	Covid News: U.S. to Tighten Testing for Travelers Amid Omicron Worries - The New York Times https://t.co/sdpBkxpaTS	O	E
2	(Non vax) Mortality amongst the large majority (healthy individuals below the age of 55) is several orders of magnitude lower than for higher risk segments accounting for over 98% of deaths in H2 '20 (those with co-morbidities and/or over 55) 4/10. . https://t.co/zOPYY8Z5if	V	E
365	@sagetoko My booster had very little effect on me.I got flu and Covid booster the same time and I was amazed at how easy it was to recover; just a bit tired with sore arms	V
61	Covid: as rules on mask wearing in England return, what exactly is the law? | Coronavirus | The Guardian https://t.co/X77z7yeiPR	N	E
579	@EssexPR @jackietvpsychic Unvaccinated Italians over the age of 12 need to take a COVID test every 48 hours to go to work or school.. . For an average family of four, that is €60 every 48 hours.. . That is €960 a month for a family of four.	V	E
866	So the mayor of the biggest city in british colonial 🇨🇦 plans to open the city in the middle of winter 2022. Clearly no thought in the rising covid cases and does not have the resources needed to deal with a rising influx of cases. 🤔😖😣#coronavirus	N	N
224	‼️Know the IMPACT of your Donation‼️ Covid 360 supported over 2000 people who have been severely impacted by Covid-19. We need our community to step up so we can continue the work.  This #GivingTuesday, pls support @acsatoronto https://t.co/KlE4uCmpuM https://t.co/GZDCzWpu3M	I	P
325	Last night I had a dream that I was in some large vehicle that got buried in an avalanche. Death seemed inevitable &amp; I remember thinking “oh well, guess this is it.” Today my son’s school announced they are going virtual for 10 days due to Covid. So that’s how things are going.	I	N
690	@NSWHealth We are getting a few hundred a day of Covid. These posts are spreading fear when we have no idea yet how it compares to Delta.	O	N
861	@_JasonLT Not with LeBron going into Covid protocol	N	E
200	Ontario’s Chief Medical Officer of Health Dr. Kieran Moore mentioned the possible acceleration of the province's third dose vaccine strategy in the wake of a newly discovered COVID-19 variant of concern in the province. #Oakville #Halton. . Read more: https://t.co/5cyJz3Waqy https://t.co/zf5e2X6QMw	V	E
172	"Couple caught fleeing Dutch COVID-19 quarantine moved to ""forced isolation"" https://t.co/x76dqiQRLa"	N	N
401	*whispers* GrandFAMs I need y’all to start complaining about the heat in CLA. I can feel the Covid Omicron spreading https://t.co/hQfqfGsTEi	O	N
541	#they’ve been gunning for Africa to have a high percentage of COVID cases from day dot and it’s not happening. Like give it up	E	P
1458	‘Don’t freak out’ over omicron, says chief of covid vaccine maker BioNTech https://t.co/cXEuX5IqHb	O	P
1251	I got the flu vaccine and COVID booster at the same time today. I’m feeling ethereal	V	P
1275	"@bennyjohnson He also met with military families while sick with Covid. And don't forget his stupid ""using a light to shine in the body."". Trumps an idiot."	E	N
1271	"In July 2020, the Lamb family devoted an hour of their broadcast to ""censorship"" around the Covid pandemic, featuring the misinformation group America's Frontline Doctors https://t.co/CAeM8NZWKX"	N	N
1143	@NYCMayorsOffice @NYCMayor @NYCHealthCommr Stop spreading Covid hysteria Mr Mayor	E	N
1394	Donald spread covid, lies, corruption, and treachery. This bastard should have been kicked out a long time ago.. .. #maga #trump #usa #gop	E	N
1464	So the 1st Omicron strain of COVID is in San Francisco. Raymond text me just pray 😂😭	O	N
582	@RomeovilleKid Damn, Covid got the streak	E	N
228	COVID-19 | Omicron variant poses very high global risk, says WHO https://t.co/TuouZerynX	O	E
411	@CovidMemo 📌 118% VACCINATED GIBRALTAR 🇬🇮 CANCELS CHRISTMAS OVER NEW COVID-19 SPIKE. . 📕 NATIONAL INSTITUTE OF HEALTH  .       2015. IMPERFECT VACCINATION CAN ENHANCE THE TRANSMISSION OF HIGHLY VIRULENT PATHOGENS . . https://t.co/Kst3G4X6K6	V	E
1229	False equivalency from Hayes, of course. There’s a vast difference between intentionally ending a life and what he’s saying is the GOP position on Covid https://t.co/tHfMUN9lwC	N	E
77	@histrionics20 However how do you control that? How do you tell if someone has developed a natural immunity? Just take your word for it that you had COVID before? What if you didn't get tested? And more so, why not get the vaccine before even having to deal with that?	V	E
480	QUEENSLAND. COVID-19 (STATS). 30-11-2021. ==========. .. .. #covid19qld #covid19 #covid19aus #covid . #coronavirus #brisbane #queensland https://t.co/10L69uwNdJ	N	E
558	Hope covid don’t mess with Bron long term 💯 that’s all	E	P
262	Grant aims to boost COVID-19 vaccination rate in Black communities https://t.co/t9LqaiJ5XK	V	E
524	@BonnRyn @JoeBiden I don’t know one person that’s had Covid and even been near having to go to the hospital	I	E
4	Cuddling w my baby girl… got her Covid tested and awaiting results. 🥺	I	E
97	I guess I need to limit my business to vaccinated people. Just saw a client post a message about how happy she was that Covid Kim &amp; others won lawsuit about vaccine mandates. I don't need that kind of people in my home business exposing my immuno compromised husband.	V	P
376	@Vyor_1 @drumstick1968 @JoeBiden Except at our southern border where for some reason, Covid, in all forms, does not exist.	E	E
858	Florida, the state with the lowest infection rate in the nation, is the most corona-open state in the nation, with no lockdowns, no masks, open schools, and sanctions against companies that mandate vaccines.. https://t.co/9U8bJ22f2c	V	E
625	@bees_oz @AlanBixter MSM and Govt have achieved their objective. Covid is so prevalent in schools now that it’s become normalised and parents &amp; teachers have been lulled into thinking it’s not a big deal. Our society has been duped and our kids will pay the price for potentially decades to come.	I	N
951	"@sapphonica @droverdriver61 Mainly that they were reporting the results by hospital admissions, but not allowing people into hospitals, calling their programme, ""Hospital in the home"". HITH. . https://t.co/TGUf3tPSXh"	I	N
1018	@SoraAnnibus DHJSJFJSJF BO HAS TRULY BEEN A PART OF MY COVID ANTHEMS	E	E
1460	@jimcramer The courts disagree. Nothing requires anyone to be forced to receive a vaccine that carries risk of myocarditis, dysautonomia (pots), blood disorders, GBS &amp; more. Covid = 1.6% mortality rate isn’t an emergency. Polio 40% mortality rate &amp; full vaccine trials. Worry about Joey… https://t.co/KtvJLtJreg	V	N
533	@Ralph_MasonJr I hope its not covid 😢🥺	E	E
503	@_Skippp__ lmaooo bitch we broke up the fall before covid. that ain’t 8 years but go off sis. lol you just be dramatic at times is all😂😂	I	E
337	@GlendaVee Good. Ordered a pizza and watched football all day. Lol. I'm going back to Texas in 3 weeks. Nephew is getting married Saturday before Christmas, and I'll stay through Christmas at least, maybe a couple days after. Haven't seen the family in almost three years thanks to covid.	I	E
413	@topgun1188 @overkoalafired @RMSolitayre @CharlieVergos @Nate_Cohn No idea what tangent you’re trying go off on now.. . Original claim: Americans don’t distinguish between fault, they punish based on bad times and reward good times. . My point: they didn’t punish Trump for COVID despite the COVID economy not being his fault . . Stay on topic	N	N
1155	Germany reports highest daily COVID-19 death toll in nine months https://t.co/tb7JdZ2E1Y via @AJEnglish	N	E
1321	South Africa’s new cases of COVID-19 have nearly doubled in just one day. The numbers signal a dramatic surge in the country where scientists detected the omicron variant last week. New confirmed cases rose to 8,561 Wednesday from 4,373 a day earlier. https://t.co/alKAbIJXZE	O	E
350	Delhi Air Pollution: SC raps NCR govts over rising AQI amid COVID-19, questions Centre over Central Vista project. #DelhiAirPollution https://t.co/Q7axPCMxx9	N	E
260	Enforcement begins today for L.A.'s COVID-19 vaccine requirements https://t.co/pTHmK4veT4	V	E
425	@RealSpikeCohen @mbradhoo And remember, when the president attempted to ban travel from Covid stricken countries he was deemed racist and xenophobic	N	E
322	Spider-Man Homeopathic COVID treatment https://t.co/7pqgpYceXc	N	E
967	Hey @NJGov what’s the COVID protocol when your @NJTRANSIT bus driver kicks everyone off the bus after getting us to Fair Lawn from Port Authority cause he just got the call that he tested positive.  And to not get too close cause he is symptomatic.  #SMDH	I	N
802	@__Stoner__ @JoeyThornhill And he played like a top tier QB. And sure Bakers the reason HUE got fired lol. Kitchens was nowhere near ready to be a head coach. The only HEALTHY year he had a quality stable coaching staff he played like a top 10 QB his first yr in a system he learned remotely due to Covid.	E	P
600	Hey, nightmare hellscape US. Someone we know was SENT HOME from the hospital after finding out she tested Covid positive, IN THE MIDDLE OF LABOR. She is giving birth. At home. Because they sent her home. Covid. She was like 5cm dilated and they told her to leave.	I	N
825	They never want it to end. Forever control over your life. . . #COVID19 #Covid_19 #Covid https://t.co/in6qKe6Ycx	E	N
872	@El_Phourteen Losing on the court &amp; to Covid smh, pick a struggle.	E	N
1201	Let’s take a break from covid tracking and jokes to check in on the Ghislaine Maxwell trial and oh dear god SERIOUSLY?? https://t.co/HNwa1WZcin	E	N
418	B.C. COVID-19 pandemic update https://t.co/DyA9q4sCk7	N	E
581	@_225Lee get a rapid covid test today	I	N
918	@SLady1961 These anti vaxxers make me mad too just because I know how much you have suffered from long haul covid. I don’t even know you like that just from here and I’ve seen what you go thru and I know you were always careful. Love ya sassy!!	V	P
1463	@scottjshapiro Trump is not toast because his whole base doesn’t believe in COVID anyway….if anything, they will love him more….it’s pure insanity	N	N
